               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  82,            0.030267,            0.023531,           0.0010221,              0.7645,             0.72994,             0.78336,             0.56387,            0.032141,            0.011828,          0.00069743,           0.0083962,           0.0083962,           0.0083962
                  83,             0.02998,            0.023429,          0.00099482,             0.76537,             0.73171,             0.78432,             0.56407,            0.032129,            0.011824,           0.0006968,           0.0083764,           0.0083764,           0.0083764
                  84,            0.029892,            0.023366,          0.00098045,             0.76423,             0.73196,             0.78381,             0.56448,            0.032122,            0.011831,          0.00070044,           0.0083566,           0.0083566,           0.0083566
                  85,            0.029957,            0.023382,           0.0010145,             0.76481,             0.73224,             0.78433,             0.56507,             0.03212,            0.011834,          0.00069948,           0.0083368,           0.0083368,           0.0083368
                  86,            0.029875,            0.023312,           0.0009979,             0.76862,             0.72942,             0.78413,             0.56528,              0.0321,            0.011831,          0.00070053,            0.008317,            0.008317,            0.008317
                  87,            0.029943,            0.023553,          0.00099979,             0.76735,             0.72987,              0.7839,             0.56569,            0.032086,            0.011826,          0.00070859,           0.0082972,           0.0082972,           0.0082972
                  88,            0.029841,            0.023281,          0.00097669,             0.76822,             0.72867,             0.78415,             0.56589,            0.032067,            0.011825,          0.00071409,           0.0082774,           0.0082774,           0.0082774
                  89,            0.029682,            0.023288,           0.0010045,             0.76535,             0.72779,             0.78405,             0.56624,            0.032067,            0.011829,          0.00071327,           0.0082576,           0.0082576,           0.0082576
                  90,             0.02972,            0.023304,          0.00098032,             0.76253,             0.72992,             0.78324,             0.56625,             0.03205,            0.011829,          0.00071193,           0.0082378,           0.0082378,           0.0082378
                  91,            0.029713,            0.023295,          0.00096287,             0.76238,             0.73338,             0.78342,             0.56636,            0.032048,            0.011829,          0.00071784,            0.008218,            0.008218,            0.008218
                  92,             0.02964,            0.023197,            0.001015,             0.76229,             0.73223,             0.78396,             0.56641,            0.032047,            0.011828,          0.00072563,           0.0081982,           0.0081982,           0.0081982
                  93,            0.029486,             0.02327,          0.00097423,             0.76145,             0.73585,             0.78426,             0.56678,            0.032035,            0.011821,          0.00072039,           0.0081784,           0.0081784,           0.0081784
                  94,            0.029478,            0.023061,          0.00093685,             0.76053,              0.7369,             0.78474,             0.56716,            0.032024,            0.011815,          0.00072273,           0.0081586,           0.0081586,           0.0081586
                  95,             0.02936,            0.023032,          0.00094423,             0.76246,             0.73315,             0.78473,             0.56733,            0.032006,            0.011813,           0.0007247,           0.0081388,           0.0081388,           0.0081388
                  96,            0.029398,            0.023106,          0.00097284,             0.76168,             0.73472,              0.7848,              0.5677,            0.032006,            0.011811,          0.00073187,            0.008119,            0.008119,            0.008119
                  97,            0.029556,            0.023128,          0.00096094,             0.76131,             0.73509,             0.78508,             0.56832,             0.03201,            0.011811,           0.0007323,           0.0080992,           0.0080992,           0.0080992
                  98,            0.029328,            0.022958,          0.00096045,             0.76034,             0.73543,             0.78501,             0.56862,            0.032023,            0.011818,          0.00073259,           0.0080794,           0.0080794,           0.0080794
